hours_studied,attendance,parental_involvement,access_to_resources,extracurricular_activities,sleep_hours,previous_scores,motivation_level,internet_access,tutoring_sessions,family_income,teacher_quality,school_type,peer_influence,physical_activity,learning_disabilities,parental_education_level,distance_from_home,gender,exam_score,gender_Female,gender_Male,school_type_Private,school_type_Public,peer_influence_Negative,peer_influence_Neutral,peer_influence_Positive,internet_access_No,internet_access_Yes,parental_involvement_encoded,access_to_resources_encoded,motivation_level_encoded,family_income_encoded,teacher_quality_encoded,study_level,attendance_level,sleep_category,hours_studied_scaled,attendance_scaled,sleep_hours_scaled,previous_scores_scaled,tutoring_sessions_scaled,study_effort,learning_efficiency,activity_study_balance,tutoring_study_impact
21,83,Medium,Medium,Yes,8,97,Low,Yes,2,Medium,Medium,Public,Positive,4,No,High School,Near,Male,70,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,1,0,1,1,High,Average,Healthy Sleep,0.17105954755967837,0.26176983397742365,0.6613991013752177,1.5230178426784435,0.41145108517868284,1743,2037,84,42
9,82,Medium,Medium,Yes,8,72,Medium,Yes,2,Medium,Medium,Private,Positive,3,No,Postgraduate,Near,Male,66,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,1,1,1,Low,Average,Healthy Sleep,-1.8322322055749671,0.17516426096346072,0.6613991013752177,-0.21325066930606779,0.41145108517868284,738,648,27,18
10,78,Medium,High,Yes,8,74,Medium,Yes,1,Low,Medium,Private,Neutral,4,No,Postgraduate,Near,Male,65,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,2,1,0,1,Low,Average,Healthy Sleep,-1.66529122614708,-0.1712580310923911,0.6613991013752177,-0.07434918834730689,-0.40124168605466753,780,740,40,10
17,68,Medium,Medium,No,8,70,Medium,Yes,2,Medium,Medium,Private,Positive,4,No,High School,Near,Female,64,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,1,1,1,Medium,Poor,Healthy Sleep,-0.49670437015187013,-1.0373137612320207,0.6613991013752177,-0.35215215026482866,0.41145108517868284,1156,1190,68,34
14,60,Medium,Low,Yes,10,65,Low,Yes,0,High,Medium,Private,Positive,3,No,College,Near,Male,60,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,2,1,Medium,Poor,Healthy Sleep,-0.9975273084355315,-1.7301583453437241,2.023788458440242,-0.6994058526617309,-1.213934457288018,840,910,42,0
22,70,Low,Medium,Yes,6,82,Medium,Yes,1,Low,High,Public,Neutral,3,No,High School,Near,Female,65,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,1,1,0,2,High,Poor,Normal Sleep,0.3380005269875655,-0.8641026152040947,-0.7009902556898064,0.48125673548773673,-0.40124168605466753,1540,1804,66,22
15,80,Medium,Medium,Yes,9,91,Low,Yes,3,Low,Medium,Public,Positive,2,No,College,Moderate,Female,67,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,1,0,0,1,Medium,Average,Healthy Sleep,-0.8305863290076444,0.0019531149355348125,1.3425937799077299,1.1063133998021608,1.2241438564120333,1200,1365,30,45
12,75,Medium,High,Yes,7,58,Medium,Yes,3,Medium,Medium,Private,Positive,4,No,College,Near,Male,66,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,2,1,1,1,Medium,Average,Normal Sleep,-1.3314092672913058,-0.4310747501342799,-0.01979557715729433,-1.185561036017394,1.2241438564120333,900,696,48,36
29,78,Medium,Medium,No,5,99,High,Yes,0,High,Medium,Public,Negative,1,No,High School,Moderate,Female,69,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,1,2,2,1,High,Average,Low Sleep,1.5065873829827754,-0.1712580310923911,-1.3821849342223185,1.6619193236372043,-1.213934457288018,2262,2871,29,0
19,99,Medium,High,No,6,84,Medium,Yes,1,Medium,High,Public,Neutral,3,No,High School,Near,Male,72,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,2,1,1,2,Medium,Good,Normal Sleep,-0.16282241129609587,1.6474590022008309,-0.7009902556898064,0.6201582164464976,-0.40124168605466753,1881,1596,57,19
20,74,Medium,High,No,8,89,Low,Yes,1,Medium,Medium,Public,Negative,2,No,College,Moderate,Female,66,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,2,0,1,1,Medium,Average,Healthy Sleep,0.0041185681317912485,-0.5176803231482429,0.6613991013752177,0.9674119188433998,-0.40124168605466753,1480,1780,40,20
11,78,High,Medium,Yes,8,100,High,Yes,1,Low,Medium,Public,Neutral,3,No,High School,Moderate,Male,66,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2,1,2,0,1,Medium,Average,Healthy Sleep,-1.498350246719193,-0.1712580310923911,0.6613991013752177,1.7313700641165848,-0.40124168605466753,858,1100,33,11
17,65,Low,High,Yes,5,75,Medium,Yes,2,Low,Medium,Public,Positive,3,No,High School,Near,Female,63,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,2,1,0,1,Medium,Poor,Low Sleep,-0.49670437015187013,-1.2971304802739094,-1.3821849342223185,-0.0048984478679264375,0.41145108517868284,1105,1275,51,34
21,62,High,Low,Yes,6,54,High,Yes,0,High,High,Public,Positive,3,No,Postgraduate,Far,Male,64,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2,0,2,2,2,High,Poor,Normal Sleep,0.17105954755967837,-1.5569471993157984,-0.7009902556898064,-1.4633639979349158,-1.213934457288018,1302,1134,63,0
13,91,Low,Medium,No,6,90,Medium,Yes,1,High,Medium,Public,Negative,2,Yes,High School,Moderate,Female,65,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,1,1,2,1,Medium,Good,Normal Sleep,-1.1644682878634187,0.9546144180891273,-0.7009902556898064,1.0368626593227803,-0.40124168605466753,1183,1170,26,13
22,83,High,High,Yes,6,94,Medium,Yes,0,High,Medium,Public,Neutral,2,No,College,Moderate,Male,71,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2,2,1,2,1,High,Average,Normal Sleep,0.3380005269875655,0.26176983397742365,-0.7009902556898064,1.314665621240302,-1.213934457288018,1826,2068,44,0
16,90,Medium,Medium,No,4,58,Medium,Yes,1,Low,Medium,Public,Neutral,3,No,High School,Moderate,Female,66,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,1,0,1,Medium,Good,Low Sleep,-0.6636453495797573,0.8680088450751643,-2.0633796127548307,-1.185561036017394,-0.40124168605466753,1440,928,48,16
18,66,High,High,No,4,51,Low,Yes,2,Low,Medium,Private,Neutral,2,No,College,Near,Male,64,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2,2,0,0,1,Medium,Poor,Low Sleep,-0.329763390723983,-1.2105249072599464,-2.0633796127548307,-1.6717162193730573,0.41145108517868284,1188,918,36,36
16,83,Low,Medium,No,6,57,Medium,Yes,0,High,Low,Public,Positive,4,Yes,High School,Near,Female,63,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,1,1,2,0,Medium,Average,Normal Sleep,-0.6636453495797573,0.26176983397742365,-0.7009902556898064,-1.2550117764967745,-1.213934457288018,1328,912,64,0
31,70,Medium,High,Yes,7,66,Medium,Yes,1,High,Medium,Public,Negative,3,No,College,Near,Male,69,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,2,1,2,1,High,Poor,Normal Sleep,1.8404693418385496,-0.8641026152040947,-0.01979557715729433,-0.6299551121823505,-0.40124168605466753,2170,2046,93,31
20,69,Medium,Medium,Yes,8,96,Medium,Yes,2,Medium,High,Public,Positive,3,No,High School,Near,Male,67,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,1,1,1,2,Medium,Poor,Healthy Sleep,0.0041185681317912485,-0.9507081882180577,0.6613991013752177,1.453567102199063,0.41145108517868284,1380,1920,60,40
14,60,High,Medium,No,5,50,Medium,Yes,2,Medium,Medium,Public,Neutral,3,No,College,Unknown,Female,61,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2,1,1,1,1,Medium,Poor,Low Sleep,-0.9975273084355315,-1.7301583453437241,-1.3821849342223185,-1.7411669598524377,0.41145108517868284,840,700,42,28
25,65,High,Medium,No,5,90,Medium,Yes,2,Medium,Medium,Public,Positive,3,No,College,Moderate,Female,68,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2,1,1,1,1,High,Poor,Low Sleep,0.8388234652712269,-1.2971304802739094,-1.3821849342223185,1.0368626593227803,0.41145108517868284,1625,2250,75,50
13,72,Low,Medium,No,6,93,Low,Yes,1,Low,Medium,Public,Negative,3,No,High School,Near,Male,61,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,1,0,0,1,Medium,Average,Normal Sleep,-1.1644682878634187,-0.6908914691761688,-0.7009902556898064,1.2452148807609216,-0.40124168605466753,936,1209,39,13
21,65,Medium,Low,Yes,7,91,Low,Yes,2,Medium,High,Public,Positive,3,No,High School,Far,Female,64,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,0,0,1,2,High,Poor,Normal Sleep,0.17105954755967837,-1.2971304802739094,-0.01979557715729433,1.1063133998021608,0.41145108517868284,1365,1911,63,42
8,99,Medium,Medium,No,9,54,Low,Yes,2,Low,Medium,Public,Neutral,5,No,Postgraduate,Near,Female,67,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,0,0,1,Low,Good,Healthy Sleep,-1.9991731850028542,1.6474590022008309,1.3425937799077299,-1.4633639979349158,0.41145108517868284,792,432,40,16
12,72,Low,Medium,Yes,8,84,Medium,Yes,1,Low,Medium,Public,Positive,5,No,High School,Near,Female,63,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,1,1,0,1,Medium,Average,Healthy Sleep,-1.3314092672913058,-0.6908914691761688,0.6613991013752177,0.6201582164464976,-0.40124168605466753,864,1008,60,12
21,65,Low,Medium,Yes,6,98,Low,Yes,1,Medium,High,Public,Negative,4,No,High School,Near,Male,64,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,1,0,1,2,High,Poor,Normal Sleep,0.17105954755967837,-1.2971304802739094,-0.7009902556898064,1.5924685831578238,-0.40124168605466753,1365,2058,84,21
24,68,High,Medium,No,8,56,Low,Yes,3,High,High,Public,Neutral,1,No,College,Near,Male,67,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2,1,0,2,2,High,Poor,Healthy Sleep,0.6718824858433398,-1.0373137612320207,0.6613991013752177,-1.324462516976155,1.2241438564120333,1632,1344,24,72
21,84,Medium,Medium,Yes,6,52,Low,Yes,1,Medium,High,Public,Neutral,2,Yes,College,Far,Female,65,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,0,1,2,High,Average,Normal Sleep,0.17105954755967837,0.34837540699138664,-0.7009902556898064,-1.6022654788936768,-0.40124168605466753,1764,1092,42,21
19,63,Low,High,No,7,94,Medium,Yes,1,Medium,Medium,Private,Positive,3,No,High School,Moderate,Male,64,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,2,1,1,1,Medium,Poor,Normal Sleep,-0.16282241129609587,-1.4703416263018354,-0.01979557715729433,1.314665621240302,-0.40124168605466753,1197,1786,57,19
18,94,Medium,High,Yes,7,82,Medium,Yes,3,Medium,Medium,Private,Negative,2,Yes,College,Near,Male,70,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,2,1,1,1,Medium,Good,Normal Sleep,-0.329763390723983,1.2144311371310161,-0.01979557715729433,0.48125673548773673,1.2241438564120333,1692,1476,36,54
11,98,Medium,Medium,Yes,9,82,Low,Yes,1,Medium,Medium,Private,Positive,3,No,Postgraduate,Far,Male,68,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,1,1,Medium,Good,Healthy Sleep,-1.498350246719193,1.5608534291868679,1.3425937799077299,0.48125673548773673,-0.40124168605466753,1078,902,33,11
16,70,Medium,Medium,Yes,8,98,Medium,Yes,2,Medium,Medium,Public,Positive,3,No,High School,Moderate,Male,65,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,1,1,1,1,Medium,Poor,Healthy Sleep,-0.6636453495797573,-0.8641026152040947,0.6613991013752177,1.5924685831578238,0.41145108517868284,1120,1568,48,32
17,78,Medium,Medium,Yes,6,88,Medium,Yes,1,Medium,High,Private,Positive,3,No,College,Near,Female,68,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,1,1,2,Medium,Average,Normal Sleep,-0.49670437015187013,-0.1712580310923911,-0.7009902556898064,0.8979611783640193,-0.40124168605466753,1326,1496,51,17
26,61,Medium,Low,Yes,6,70,Medium,Yes,2,Low,Medium,Public,Positive,3,No,High School,Moderate,Female,64,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,0,1,0,1,High,Poor,Normal Sleep,1.005764444699114,-1.6435527723297614,-0.7009902556898064,-0.35215215026482866,0.41145108517868284,1586,1820,78,52
22,86,Low,Medium,Yes,7,72,Low,Yes,3,Low,High,Public,Positive,2,No,High School,Moderate,Male,68,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,1,0,0,2,High,Good,Normal Sleep,0.3380005269875655,0.5215865530193126,-0.01979557715729433,-0.21325066930606779,1.2241438564120333,1892,1584,44,66
9,77,Medium,Medium,No,5,57,Medium,Yes,2,Medium,High,Public,Neutral,3,No,High School,Near,Male,63,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,1,1,2,Low,Average,Low Sleep,-1.8322322055749671,-0.25786360410635406,-1.3821849342223185,-1.2550117764967745,0.41145108517868284,693,513,27,18
22,71,Low,Medium,Yes,7,65,Low,Yes,1,Medium,Low,Public,Positive,4,No,College,Moderate,Male,64,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,1,0,1,0,High,Average,Normal Sleep,0.3380005269875655,-0.7774970421901317,-0.01979557715729433,-0.6994058526617309,-0.40124168605466753,1562,1430,88,22
18,68,High,Medium,No,7,72,Medium,Yes,0,Medium,Medium,Public,Neutral,3,No,College,Near,Male,64,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2,1,1,1,1,Medium,Poor,Normal Sleep,-0.329763390723983,-1.0373137612320207,-0.01979557715729433,-0.21325066930606779,-1.213934457288018,1224,1296,54,0
16,86,Low,Medium,Yes,8,63,Medium,Yes,2,Medium,Medium,Public,Positive,4,No,High School,Near,Male,67,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,1,1,1,1,Medium,Good,Healthy Sleep,-0.6636453495797573,0.5215865530193126,0.6613991013752177,-0.8383073336204918,0.41145108517868284,1376,1008,64,32
24,77,High,Low,No,8,96,Medium,Yes,0,Medium,Medium,Public,Neutral,3,No,High School,Near,Female,67,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2,0,1,1,1,High,Average,Healthy Sleep,0.6718824858433398,-0.25786360410635406,0.6613991013752177,1.453567102199063,-1.213934457288018,1848,2304,72,0
26,67,Medium,High,Yes,7,51,Low,Yes,2,High,High,Private,Neutral,4,Yes,Postgraduate,Far,Female,66,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,2,0,2,2,High,Poor,Normal Sleep,1.005764444699114,-1.1239193342459837,-0.01979557715729433,-1.6717162193730573,0.41145108517868284,1742,1326,104,52
26,88,Medium,High,Yes,5,79,Medium,Yes,1,Low,High,Private,Positive,4,No,College,Moderate,Male,72,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,2,1,0,2,High,Good,Low Sleep,1.005764444699114,0.6947976990472384,-1.3821849342223185,0.27290451404959537,-0.40124168605466753,2288,2054,104,26
15,83,Medium,High,No,5,89,Low,No,1,Medium,High,Public,Neutral,2,Yes,High School,Near,Female,65,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1,2,0,1,2,Medium,Average,Low Sleep,-0.8305863290076444,0.26176983397742365,-1.3821849342223185,0.9674119188433998,-0.40124168605466753,1245,1335,30,15
18,94,Medium,Medium,Yes,6,87,High,Yes,1,Medium,Medium,Public,Positive,4,No,High School,Near,Male,71,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,1,2,1,1,Medium,Good,Normal Sleep,-0.329763390723983,1.2144311371310161,-0.7009902556898064,0.828510437884639,-0.40124168605466753,1692,1566,72,18
22,65,High,Low,No,8,82,Medium,Yes,2,Medium,High,Public,Positive,1,No,Postgraduate,Near,Female,66,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2,0,1,1,2,High,Poor,Healthy Sleep,0.3380005269875655,-1.2971304802739094,0.6613991013752177,0.48125673548773673,0.41145108517868284,1430,1804,22,44
26,91,Medium,Low,Yes,8,71,Medium,Yes,0,Low,Medium,Private,Neutral,3,No,High School,Moderate,Male,68,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0,1,0,1,High,Good,Healthy Sleep,1.005764444699114,0.9546144180891273,0.6613991013752177,-0.2827014097854482,-1.213934457288018,2366,1846,78,0
17,87,Medium,Medium,No,7,96,Medium,Yes,1,High,Medium,Public,Negative,5,No,Postgraduate,Near,Female,70,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,1,1,2,1,Medium,Good,Normal Sleep,-0.49670437015187013,0.6081921260332754,-0.01979557715729433,1.453567102199063,-0.40124168605466753,1479,1632,85,17
19,65,Medium,Medium,Yes,10,66,Low,Yes,0,Low,Medium,Public,Positive,3,No,High School,Moderate,Male,62,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,1,0,0,1,Medium,Poor,Healthy Sleep,-0.16282241129609587,-1.2971304802739094,2.023788458440242,-0.6299551121823505,-1.213934457288018,1235,1254,57,0
13,88,Low,High,Yes,9,88,High,Yes,2,Low,High,Private,Negative,4,No,Postgraduate,Far,Male,68,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,2,2,0,2,Medium,Good,Healthy Sleep,-1.1644682878634187,0.6947976990472384,1.3425937799077299,0.8979611783640193,0.41145108517868284,1144,1144,52,26
13,78,Medium,High,Yes,9,96,High,Yes,2,Low,Medium,Public,Neutral,3,No,College,Moderate,Male,67,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,2,2,0,1,Medium,Average,Healthy Sleep,-1.1644682878634187,-0.1712580310923911,1.3425937799077299,1.453567102199063,0.41145108517868284,1014,1248,39,26
25,98,Low,High,Yes,8,56,Medium,No,0,Medium,High,Private,Neutral,3,No,Postgraduate,Near,Male,71,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,2,1,1,2,High,Good,Healthy Sleep,0.8388234652712269,1.5608534291868679,0.6613991013752177,-1.324462516976155,-1.213934457288018,2450,1400,75,0
28,66,Medium,High,Yes,8,97,Medium,Yes,0,Medium,Medium,Public,Neutral,2,No,High School,Near,Male,68,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,2,1,1,1,High,Poor,Healthy Sleep,1.3396464035548883,-1.2105249072599464,0.6613991013752177,1.5230178426784435,-1.213934457288018,1848,2716,56,0
20,86,Medium,Medium,Yes,8,89,Medium,Yes,1,Low,Medium,Public,Negative,3,No,Postgraduate,Near,Male,69,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,1,1,0,1,Medium,Good,Healthy Sleep,0.0041185681317912485,0.5215865530193126,0.6613991013752177,0.9674119188433998,-0.40124168605466753,1720,1780,60,20
26,75,Low,High,Yes,4,81,High,Yes,3,Medium,High,Private,Positive,2,No,High School,Moderate,Male,70,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,2,2,1,2,High,Average,Low Sleep,1.005764444699114,-0.4310747501342799,-2.0633796127548307,0.41180599500835624,1.2241438564120333,1950,2106,52,78
22,98,Medium,High,No,5,69,Low,No,1,Low,High,Public,Negative,4,No,High School,Moderate,Female,69,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,2,0,0,2,High,Good,Low Sleep,0.3380005269875655,1.5608534291868679,-1.3821849342223185,-0.42160289074420915,-0.40124168605466753,2156,1518,88,22
16,73,Medium,Medium,No,7,95,Medium,Yes,1,Low,Medium,Public,Negative,4,No,College,Near,Male,65,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,1,1,0,1,Medium,Average,Normal Sleep,-0.6636453495797573,-0.6042858961622058,-0.01979557715729433,1.3841163617196826,-0.40124168605466753,1168,1520,64,16
22,98,Medium,Low,Yes,7,52,Medium,No,3,Medium,Medium,Public,Positive,3,No,College,Near,Female,70,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,1,1,1,High,Good,Normal Sleep,0.3380005269875655,1.5608534291868679,-0.01979557715729433,-1.6022654788936768,1.2241438564120333,2156,1144,66,66
29,96,Medium,Low,Yes,7,72,Medium,Yes,1,Low,Medium,Public,Positive,3,No,High School,Moderate,Male,71,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,0,1,0,1,High,Good,Normal Sleep,1.5065873829827754,1.3876422831589421,-0.01979557715729433,-0.21325066930606779,-0.40124168605466753,2784,2088,87,29
20,71,Medium,Medium,Yes,7,88,Medium,Yes,1,Low,Low,Public,Neutral,4,No,College,Near,Female,65,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,1,0,0,Medium,Average,Normal Sleep,0.0041185681317912485,-0.7774970421901317,-0.01979557715729433,0.8979611783640193,-0.40124168605466753,1420,1760,80,20
29,92,Low,Medium,No,4,91,Medium,Yes,2,Medium,Medium,Public,Negative,1,No,Postgraduate,Near,Female,72,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,1,1,1,1,High,Good,Low Sleep,1.5065873829827754,1.0412199911030902,-2.0633796127548307,1.1063133998021608,0.41145108517868284,2668,2639,29,58
4,100,High,High,Yes,8,60,High,Yes,0,Medium,High,Private,Positive,4,No,College,Moderate,Male,69,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2,2,2,1,2,Low,Good,Healthy Sleep,-2.6669371027144027,1.7340645752147938,0.6613991013752177,-1.046659555058633,-1.213934457288018,400,240,16,0
25,70,Medium,Medium,No,7,52,Medium,Yes,1,Medium,Medium,Public,Positive,3,No,Postgraduate,Near,Female,66,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,1,1,1,1,High,Poor,Normal Sleep,0.8388234652712269,-0.8641026152040947,-0.01979557715729433,-1.6022654788936768,-0.40124168605466753,1750,1300,75,25
