item_identifier,item_weight,item_fat_content,item_visibility,item_type,item_mrp,outlet_identifier,outlet_establishment_year,outlet_size,outlet_location_type,outlet_type
DRG49,7.81,Low Fat,0.067560171,Soft Drinks,245.25,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCG06,16.35,Low Fat,0.029505077,Household,256.26,OUT045,2002,Unknown,Tier 2,Supermarket Type1
DRC36,13,Regular,0.045076104,Soft Drinks,173.71,OUT045,2002,Unknown,Tier 2,Supermarket Type1
FDV21,11.5,Low Fat,0.299544153,Snack Foods,124.87,OUT019,1985,Small,Tier 1,Grocery Store
FDB53,13.35,Low Fat,0.139452413,Frozen Foods,148.64,OUT046,1997,Small,Tier 1,Supermarket Type1
DRP47,15.75,Low Fat,0.246178257,Hard Drinks,252.44,OUT019,1985,Small,Tier 1,Grocery Store
FDA14,16.1,Low Fat,0.065128984,Dairy,145.18,OUT013,1987,High,Tier 3,Supermarket Type1
DRC24,17.85,Low Fat,0.024816585,Soft Drinks,152.7,OUT035,2004,Small,Tier 2,Supermarket Type1
FDW21,5.34,Regular,0.005988175,Snack Foods,100.64,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCH29,5.51,Low Fat,0.034473804,Health and Hygiene,97.37,OUT046,1997,Small,Tier 1,Supermarket Type1
FDU58,6.61,Regular,0.028987582,Snack Foods,188.69,OUT013,1987,High,Tier 3,Supermarket Type1
FDY27,6.38,Low Fat,0.032078604,Dairy,177.63,OUT017,2007,Unknown,Tier 2,Supermarket Type1
FDV56,16.1,Regular,0.013593151,Fruits and Vegetables,108.96,OUT035,2004,Small,Tier 2,Supermarket Type1
FDT59,13.65,Low Fat,0.015911432,Breads,230.57,OUT046,1997,Small,Tier 1,Supermarket Type1
FDB23,19.2,Regular,0.005588601,Starchy Foods,225.51,OUT046,1997,Small,Tier 1,Supermarket Type1
FDR49,8.71,Low Fat,0.139510771,Canned,46.24,OUT045,2002,Unknown,Tier 2,Supermarket Type1
FDB03,17.75,Regular,0.262504325,Dairy,242.25,OUT010,1998,Unknown,Tier 3,Grocery Store
FDN39,19.35,Regular,0,Meat,165.78,OUT045,2002,Unknown,Tier 2,Supermarket Type1
FDX02,16,Low Fat,0.056783774,Dairy,223.14,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDQ16,19.7,Low Fat,0.041536279,Frozen Foods,107.79,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDU35,6.44,Low Fat,0.079538056,Breads,99.47,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCT29,12.6,Low Fat,0.064057374,Health and Hygiene,122.14,OUT013,1987,High,Tier 3,Supermarket Type1
FDZ27,7.935,Low Fat,0.017156262,Dairy,48.14,OUT046,1997,Small,Tier 1,Supermarket Type1
FDN57,18.25,Low Fat,0.054540968,Snack Foods,140.42,OUT017,2007,Unknown,Tier 2,Supermarket Type1
FDA03,18.5,Regular,0.045648973,Dairy,145.61,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDZ36,6.035,Regular,0.065917194,Baking Goods,185.72,OUT045,2002,Unknown,Tier 2,Supermarket Type1
NCU05,11.8,Low Fat,0.058687359,Health and Hygiene,81.16,OUT013,1987,High,Tier 3,Supermarket Type1
FDT39,6.26,Regular,0.009908113,Meat,151.14,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDK60,16.5,Regular,0.094395215,Baking Goods,97.21,OUT017,2007,Unknown,Tier 2,Supermarket Type1
FDZ25,15.7,Regular,0.02777326,Canned,169.28,OUT017,2007,Unknown,Tier 2,Supermarket Type1
FDG12,6.635,Regular,0.006326106,Baking Goods,122.11,OUT046,1997,Small,Tier 1,Supermarket Type1
DRB01,7.39,low fat,0.143990546,Soft Drinks,191.55,OUT019,1985,Small,Tier 1,Grocery Store
NCC43,7.39,Low Fat,0.09233359,Household,250.61,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDX13,7.725,Low Fat,0.083661793,Canned,248.61,OUT019,1985,Small,Tier 1,Grocery Store
FDM22,14,Regular,0.042022999,Snack Foods,53.06,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDJ03,12.35,Regular,0.072044336,Dairy,48.87,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDU14,17.75,Low Fat,0,Dairy,249.78,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDB33,17.75,Low Fat,0.024404214,Fruits and Vegetables,159.03,OUT010,1998,Unknown,Tier 3,Grocery Store
FDP27,8.155,Low Fat,0.119450639,Meat,190.65,OUT046,1997,Small,Tier 1,Supermarket Type1
FDO38,17.25,Low Fat,0.121917641,Canned,76.7,OUT010,1998,Unknown,Tier 3,Grocery Store
FDE28,9.5,Regular,0.131905128,Frozen Foods,232.07,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDO27,6.175,Regular,0.179043614,Meat,95.38,OUT035,2004,Small,Tier 2,Supermarket Type1
DRL23,18.35,Low Fat,0.0152302,Hard Drinks,107.09,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDS28,8.18,Regular,0.082401592,Frozen Foods,55.96,OUT046,1997,Small,Tier 1,Supermarket Type1
FDX24,8.355,Low Fat,0.013917468,Baking Goods,92.55,OUT013,1987,High,Tier 3,Supermarket Type1
FDZ02,6.905,Regular,0.038140213,Dairy,96.37,OUT035,2004,Small,Tier 2,Supermarket Type1
FDL46,20.35,Low Fat,0.054166556,Snack Foods,116.95,OUT045,2002,Unknown,Tier 2,Supermarket Type1
FDS60,20.85,Low Fat,0.03229139,Baking Goods,178.77,OUT027,1985,Medium,Tier 3,Supermarket Type3
NCO06,19.25,Low Fat,0.108641498,Household,33.06,OUT017,2007,Unknown,Tier 2,Supermarket Type1
FDO16,5.48,Low Fat,0.015105338,Frozen Foods,84.62,OUT035,2004,Small,Tier 2,Supermarket Type1
FDC60,5.425,Regular,0.114650377,Baking Goods,87.35,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDA48,12.1,Low Fat,0.115342009,Baking Goods,220.21,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDZ36,6.035,Regular,0,Baking Goods,186.42,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDK27,11,Low Fat,0.00896468,Meat,120.68,OUT045,2002,Unknown,Tier 2,Supermarket Type1
FDW23,5.765,Low Fat,0.082346376,Baking Goods,38.82,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDM14,13.8,Low Fat,0.013318,Canned,110.13,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDM14,13.8,Low Fat,0.01325293,Canned,108.23,OUT013,1987,High,Tier 3,Supermarket Type1
FDW60,5.44,Regular,0.017131453,Baking Goods,177.84,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDE21,12.8,Low Fat,0.022925594,Fruits and Vegetables,116.45,OUT013,1987,High,Tier 3,Supermarket Type1
NCM42,6.13,Low Fat,0.028316137,Household,109.39,OUT035,2004,Small,Tier 2,Supermarket Type1
FDY59,8.195,Low Fat,0.052562923,Baking Goods,93.95,OUT010,1998,Unknown,Tier 3,Grocery Store
DRI49,14.15,Low Fat,0.1837926,Soft Drinks,81.33,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDT28,13.3,Low Fat,0.111296158,Frozen Foods,151.27,OUT019,1985,Small,Tier 1,Grocery Store
FDQ22,16.75,Low Fat,0.029860799,Snack Foods,39.58,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDR60,14.3,Low Fat,0.130617879,Baking Goods,76.53,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDC50,15.85,Low Fat,0.238990225,Canned,94.71,OUT019,1985,Small,Tier 1,Grocery Store
FDV24,5.635,Low Fat,0.103186396,Baking Goods,151.8,OUT013,1987,High,Tier 3,Supermarket Type1
DRF48,5.73,Low Fat,0,Soft Drinks,188.39,OUT010,1998,Unknown,Tier 3,Grocery Store
FDQ47,7.155,Regular,0.168186376,Breads,36.59,OUT046,1997,Small,Tier 1,Supermarket Type1
DRN36,15.2,low fat,0.050255855,Soft Drinks,97.38,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCY06,15.25,Low Fat,0.061173235,Household,128.6,OUT035,2004,Small,Tier 2,Supermarket Type1
FDE52,10.395,Regular,0.029881147,Dairy,89.55,OUT035,2004,Small,Tier 2,Supermarket Type1
NCB54,8.76,Low Fat,0.050154219,Health and Hygiene,126.93,OUT045,2002,Unknown,Tier 2,Supermarket Type1
NCF31,9.13,Low Fat,0.051837621,Household,152.6,OUT035,2004,Small,Tier 2,Supermarket Type1
FDJ08,11.1,Low Fat,0.11013617,Fruits and Vegetables,189.78,OUT027,1985,Medium,Tier 3,Supermarket Type3
NCC07,19.6,Low Fat,0.024086626,Household,106.1,OUT017,2007,Unknown,Tier 2,Supermarket Type1
NCD19,8.93,Low Fat,0.013115567,Household,53.76,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDL46,20.35,Low Fat,0,Snack Foods,118.95,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDM20,10,Low Fat,0.038764258,Fruits and Vegetables,246.21,OUT045,2002,Unknown,Tier 2,Supermarket Type1
NCI06,11.3,Low Fat,0.07986963,Household,180.47,OUT010,1998,Unknown,Tier 3,Grocery Store
DRM11,6.57,Low Fat,0.066057085,Hard Drinks,259.33,OUT035,2004,Small,Tier 2,Supermarket Type1
NCH07,13.15,Low Fat,0.093044518,Household,158.46,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDS23,4.635,Low Fat,0.140771867,Breads,129.5,OUT013,1987,High,Tier 3,Supermarket Type1
FDO49,10.6,Regular,0.033186809,Breakfast,49.1,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDS35,9.3,Low Fat,0.11139344,Breads,65.28,OUT049,1999,Medium,Tier 1,Supermarket Type1
DRK39,7.02,Low Fat,0.049966527,Dairy,82.52,OUT045,2002,Unknown,Tier 2,Supermarket Type1
DRI39,13.8,Low Fat,0.097212998,Dairy,58.29,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDV04,7.825,Regular,0.150863781,Frozen Foods,158.03,OUT017,2007,Unknown,Tier 2,Supermarket Type1
NCN14,19.1,Low Fat,0.091900406,Others,182.56,OUT035,2004,Small,Tier 2,Supermarket Type1
FDH08,7.51,Low Fat,0.017414576,Fruits and Vegetables,231.1,OUT013,1987,High,Tier 3,Supermarket Type1
FDS20,8.85,Low Fat,0.053866912,Fruits and Vegetables,183.03,OUT046,1997,Small,Tier 1,Supermarket Type1
FDV40,17.35,Low Fat,0.014714625,Frozen Foods,75.4,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDZ48,17.75,Low Fat,0.127140836,Baking Goods,110.55,OUT010,1998,Unknown,Tier 3,Grocery Store
FDS24,20.85,Regular,0.061923154,Baking Goods,87.55,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDK44,16.6,Low Fat,0.122417514,Fruits and Vegetables,174.37,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDS48,15.15,Low Fat,0,Baking Goods,150.47,OUT045,2002,Unknown,Tier 2,Supermarket Type1
FDK26,5.46,Regular,0.053858378,Canned,186.92,OUT010,1998,Unknown,Tier 3,Grocery Store
FDD23,9.5,Regular,0.048784266,Starchy Foods,188.59,OUT045,2002,Unknown,Tier 2,Supermarket Type1
NCH54,13.5,Low Fat,0.073080167,Household,161.49,OUT017,2007,Unknown,Tier 2,Supermarket Type1
NCP14,8.275,Low Fat,0.184602443,Household,106.53,OUT010,1998,Unknown,Tier 3,Grocery Store
FDM60,10.8,Regular,0.080582001,Baking Goods,39.41,OUT010,1998,Unknown,Tier 3,Grocery Store
FDV24,5.635,Low Fat,0.103856487,Baking Goods,151.3,OUT017,2007,Unknown,Tier 2,Supermarket Type1
FDH08,7.51,Low Fat,0.017500079,Fruits and Vegetables,228.8,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDS12,9.1,Low Fat,0.173275373,Baking Goods,127.64,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDR39,20.35,Low Fat,0.083393481,Meat,180.63,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDP12,9.8,Regular,0.0450476,Baking Goods,36.49,OUT027,1985,Medium,Tier 3,Supermarket Type3
DRF60,10.8,Low Fat,0.051816577,Soft Drinks,236.46,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDC09,15.5,Regular,0.026297031,Fruits and Vegetables,102.73,OUT035,2004,Small,Tier 2,Supermarket Type1
FDF50,4.905,low fat,0.117808305,Canned,198.58,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDG28,9.285,Regular,0.049270974,Frozen Foods,243.91,OUT035,2004,Small,Tier 2,Supermarket Type1
NCE19,8.97,Low Fat,0.093540749,Household,55.5,OUT017,2007,Unknown,Tier 2,Supermarket Type1
NCM53,18.75,Low Fat,0.087105823,Health and Hygiene,108.23,OUT010,1998,Unknown,Tier 3,Grocery Store
NCN18,8.895,Low Fat,0,Household,110.95,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDF32,16.35,Low Fat,0.068068082,Fruits and Vegetables,199.14,OUT035,2004,Small,Tier 2,Supermarket Type1
FDF11,10.195,Regular,0.01761655,Starchy Foods,239.45,OUT013,1987,High,Tier 3,Supermarket Type1
DRI59,9.5,Low Fat,0.040898157,Hard Drinks,225.21,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCG54,12.1,Low Fat,0.079791176,Household,169.51,OUT035,2004,Small,Tier 2,Supermarket Type1
FDM44,12.5,Low Fat,0.031049674,Fruits and Vegetables,101.4,OUT046,1997,Small,Tier 1,Supermarket Type1
FDT57,15.2,Low Fat,0.019112323,Snack Foods,236.22,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDV24,5.635,Low Fat,0.103272336,Baking Goods,151.21,OUT046,1997,Small,Tier 1,Supermarket Type1
FDI50,8.42,Regular,0.054001526,Canned,227.84,OUT019,1985,Small,Tier 1,Grocery Store
FDS09,8.895,Regular,0.081073148,Snack Foods,51.2,OUT035,2004,Small,Tier 2,Supermarket Type1
NCC31,8.02,Low Fat,0.019774239,Household,154.6,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDQ07,15.1,Regular,0.153038134,Fruits and Vegetables,219.05,OUT019,1985,Small,Tier 1,Grocery Store
FDC22,6.89,Regular,0.13720009,Snack Foods,191.88,OUT017,2007,Unknown,Tier 2,Supermarket Type1
FDZ56,16.25,Low Fat,0.02573698,Fruits and Vegetables,169.35,OUT046,1997,Small,Tier 1,Supermarket Type1
FDZ40,8.935,Low Fat,0.070354806,Frozen Foods,53.93,OUT019,1985,Small,Tier 1,Grocery Store
FDS46,17.6,Regular,0.047028483,Snack Foods,118.38,OUT027,1985,Medium,Tier 3,Supermarket Type3
DRD24,13.85,Low Fat,0.030857538,Soft Drinks,140.62,OUT045,2002,Unknown,Tier 2,Supermarket Type1
FDV45,16.75,Low Fat,0.045302246,Snack Foods,189.16,OUT017,2007,Unknown,Tier 2,Supermarket Type1
FDL26,18,Low Fat,0.073341257,Canned,155.8,OUT045,2002,Unknown,Tier 2,Supermarket Type1
FDA56,9.21,Low Fat,0.00880049,Fruits and Vegetables,123.04,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDN27,20.85,Low Fat,0.039562497,Meat,118.18,OUT046,1997,Small,Tier 1,Supermarket Type1
FDM20,10,Low Fat,0.038745948,Fruits and Vegetables,245.01,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDO16,5.48,Low Fat,0.015193653,Frozen Foods,82.82,OUT017,2007,Unknown,Tier 2,Supermarket Type1
FDL03,19.25,Regular,0.027075481,Meat,195.61,OUT035,2004,Small,Tier 2,Supermarket Type1
FDE58,18.5,Low Fat,0.052068722,Snack Foods,117.01,OUT046,1997,Small,Tier 1,Supermarket Type1
FDI02,15.7,Regular,0.114010306,Canned,112.22,OUT027,1985,Medium,Tier 3,Supermarket Type3
NCC55,10.695,Low Fat,0.111641021,Household,38.88,OUT019,1985,Small,Tier 1,Grocery Store
FDR03,15.7,Regular,0.008771522,Meat,205.8,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDB14,20.25,Regular,0.103304968,Canned,92.61,OUT017,2007,Unknown,Tier 2,Supermarket Type1
FDR45,10.8,Low Fat,0.028919203,Snack Foods,240.92,OUT013,1987,High,Tier 3,Supermarket Type1
NCN07,18.5,Low Fat,0.034136703,Others,130.03,OUT017,2007,Unknown,Tier 2,Supermarket Type1
FDM51,11.8,Regular,0.045393469,Meat,102.27,OUT019,1985,Small,Tier 1,Grocery Store
FDT52,9.695,Regular,0.047199898,Frozen Foods,244.91,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDL26,18,Low Fat,0.07319282,Canned,154.3,OUT046,1997,Small,Tier 1,Supermarket Type1
NCZ42,10.5,Low Fat,0.011287929,Household,238.92,OUT046,1997,Small,Tier 1,Supermarket Type1
DRI47,14.7,Low Fat,0.036628533,Hard Drinks,145.61,OUT019,1985,Small,Tier 1,Grocery Store
FDW40,14,Regular,0.105057952,Frozen Foods,141.18,OUT013,1987,High,Tier 3,Supermarket Type1
FDN34,15.6,Regular,0,Snack Foods,169.21,OUT046,1997,Small,Tier 1,Supermarket Type1
FDS01,11.6,Low Fat,0.017741644,Canned,178.37,OUT035,2004,Small,Tier 2,Supermarket Type1
NCG55,16.25,Low Fat,0.039225553,Household,116.22,OUT045,2002,Unknown,Tier 2,Supermarket Type1
FDC11,20.5,Low Fat,0.141766029,Starchy Foods,87.42,OUT035,2004,Small,Tier 2,Supermarket Type1
FDX35,5.035,Regular,0.080236064,Breads,226.4,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCB06,17.6,Low Fat,0.082332074,Health and Hygiene,160.39,OUT046,1997,Small,Tier 1,Supermarket Type1
FDR09,18.25,Low Fat,0.136085739,Snack Foods,259.9,OUT019,1985,Small,Tier 1,Grocery Store
FDC53,8.68,Low Fat,0.008885672,Frozen Foods,96.94,OUT017,2007,Unknown,Tier 2,Supermarket Type1
FDY45,17.5,Low Fat,0,Snack Foods,255.24,OUT013,1987,High,Tier 3,Supermarket Type1
FDA22,7.435,Low Fat,0.141355941,Starchy Foods,168.52,OUT010,1998,Unknown,Tier 3,Grocery Store
FDE02,8.71,Low Fat,0.121227447,Canned,95.28,OUT035,2004,Small,Tier 2,Supermarket Type1
FDW21,5.34,Regular,0.005975976,Snack Foods,100.84,OUT045,2002,Unknown,Tier 2,Supermarket Type1
FDV34,10.695,Regular,0.011425458,Snack Foods,73.6,OUT046,1997,Small,Tier 1,Supermarket Type1
FDS59,14.8,Regular,0.043961689,Breads,109.16,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCW17,18,Low Fat,0.01949589,Health and Hygiene,127.9,OUT017,2007,Unknown,Tier 2,Supermarket Type1
NCK54,12.15,Low Fat,0.029523375,Household,117.22,OUT046,1997,Small,Tier 1,Supermarket Type1
FDG17,6.865,Regular,0.062751586,Frozen Foods,244.25,OUT019,1985,Small,Tier 1,Grocery Store
FDG35,21.2,Regular,0,Starchy Foods,173.07,OUT017,2007,Unknown,Tier 2,Supermarket Type1
FDD08,8.3,Low Fat,0.059175953,Fruits and Vegetables,37.85,OUT010,1998,Unknown,Tier 3,Grocery Store
NCO07,9.06,Low Fat,0.009831566,Others,211.16,OUT017,2007,Unknown,Tier 2,Supermarket Type1
