customerid,registrationdate,age,gender,incomelevel,country,city,totalpurchases,averageordervalue,customerlifetimevalue,favoritecategory,secondfavoritecategory,emailengagementrate,socialmediaengagementrate,mobileappusage,customerserviceinteractions,averagesatisfactionscore,emailconversionrate,socialmediaconversionrate,searchengineconversionrate,repeatcustomer,premiummember,hasreturneditems
CUST00023,2020-12-18,38.0,Other,Medium,Canada,Other,5.0,15.38115580674666,285.35485917107513,Unknown,Beauty,0.080201899448361,0.2909860720101524,Never,2.0,7.181997299984871,0.1941446881567091,0.3068387881002117,0.3733882898491444,Yes,Yes,No
CUST00024,2023-08-10,64.0,Female,Medium,USA,Paris,6.0,7.344361391030193,85.68436662424241,Sports,Electronics,0.2489509285137461,0.3198457279026163,High,1.0,9.317836277007762,0.1300339084780404,0.043317418154207,0.3075520287212492,Unknown,No,Yes
CUST00025,2020-09-02,30.0,Unknown,Low,Germany,New York,17.0,49.29627103282404,897.7353559544823,Toys,Home Goods,0.28,0.6061647704730402,Medium,2.0,6.059680456508866,0.1178276065255543,0.2,0.1803894439764656,Yes,No,No
CUST00026,2022-12-12,53.0,Unknown,Very High,Other,Paris,0.0,9.314660668260831,18.068272806210143,Books,Clothing,0.2078105162159821,0.332720212813654,High,2.0,9.321613405276194,0.2284699664306527,0.3419771543928504,0.1092468334659268,No,No,No
CUST00027,2018-07-09,25.0,Prefer not to say,High,Japan,Sydney,8.0,45.65302495713105,443.7597040575501,Beauty,Clothing,0.1263477557817052,0.2160484675971539,Unknown,0.0,7.230093040625165,0.104449505182991,0.385474439017933,0.0571753800267458,Unknown,No,No
CUST00028,2019-07-17,21.0,Male,Medium,USA,Berlin,9.0,160.43802063412775,1565.8872482213833,Books,Sports,0.4108460409124318,0.1416072034209189,Low,2.0,5.32809863061784,0.0583375894158636,0.2026810906259561,0.2386558920018628,Yes,Yes,Yes
CUST00029,2023-03-15,84.0,Prefer not to say,High,Canada,Los Angeles,7.0,33.55959929125069,474.4895864171756,Home Goods,Clothing,0.1731608842707744,0.4769598507100744,Never,0.0,6.867366793817527,0.1097276529606848,0.2050136892580724,0.4084232247685948,Yes,No,No
CUST00030,2021-06-21,43.0,Unknown,High,Australia,Paris,6.0,5.478934544521163,18.86585135873688,Food,Sports,0.1865623742092108,0.2701404733962833,Low,4.0,5.243555549387806,0.3514891852639346,0.4503580818918065,0.1334600958155115,Yes,No,No
CUST00031,2022-03-09,43.0,Male,Medium,Australia,Los Angeles,2.0,227.6314507584983,464.8006238852506,Electronics,Sports,0.2347272354696997,0.0877771369881343,High,1.0,6.059780510414245,0.1200610962482007,0.0609428393167081,0.1802840419982133,Yes,No,No
CUST00032,2019-10-09,43.0,Other,Unknown,UK,London,1.0,156.78122706855595,102.70638087189448,Books,Toys,0.1190150295414034,0.4067554931619976,Unknown,1.0,7.756440176101581,0.1608291349187658,0.4086217148020863,0.2,No,No,No
CUST00033,2023-08-31,56.0,Unknown,High,Other,Berlin,2.0,24.048731133159787,157.7099241276137,Books,Books,0.1363964551253721,0.2964397943563228,Unknown,4.0,5.30672324280549,0.2019378301980937,0.2282999306644921,0.2,Yes,No,No
CUST00034,2021-07-21,41.0,Prefer not to say,Unknown,Germany,Los Angeles,1.0,34.60827510538666,33.83200182035513,Food,Food,0.1718397862534331,0.0807245870245286,Low,0.0,6.426245570302381,0.3746389143429357,0.0459839953469969,0.1791355800063122,No,No,Unknown
CUST00035,2019-08-24,47.0,Prefer not to say,Very High,Germany,New York,5.0,106.59762108510994,1178.3724876725016,Clothing,Toys,0.374390984304134,0.037748179348079,Unknown,4.0,5.961025448845913,0.1695092629101386,0.2331114762901108,0.2530655803975926,Yes,No,Yes
CUST00036,2023-08-24,19.0,Unknown,High,Other,Other,0.0,50.91027368105874,137.64728421104718,Electronics,Clothing,0.2440724793676948,0.4337598338253947,Unknown,4.0,6.193836817439457,0.1090012808665496,0.2257242749600801,0.1051624872742861,No,No,No
CUST00037,Unknown,49.0,Female,Low,UK,Berlin,2.0,153.5773221746507,319.3807737859422,Unknown,Beauty,0.5236841749506406,0.034505689670813,High,1.0,7.578841126008877,0.2939553316361181,0.1176081504438364,0.2849909700963768,Yes,No,Unknown
CUST00038,2023-08-04,31.0,Other,Very High,UK,London,4.0,22.614107448714314,-116.65154750363064,Clothing,Books,0.5032239878831021,0.1902062899827217,High,2.0,9.221626476926383,0.4134475523292082,0.1011021824730509,0.3528822380665057,Yes,No,No
CUST00039,2021-09-25,45.0,Unknown,Very High,France,New York,1.0,126.39070126600596,128.9107806597292,Beauty,Home Goods,0.1270510317007716,0.1908319934563226,Unknown,2.0,7.66538038130274,0.0450625399541768,0.1501179680579421,0.0488310366525333,No,No,No
CUST00040,2023-11-10,9.0,Unknown,Unknown,Japan,Berlin,4.0,22.23706455163577,163.124739201613,Electronics,Unknown,0.3636229270561669,0.2148239581262113,Unknown,3.0,6.175587091841464,0.1504641328452484,0.4472936038042501,0.1047721474392875,Yes,No,No
CUST00041,2021-10-22,44.0,Prefer not to say,Medium,Other,Paris,7.0,168.26183026947862,1318.405309175349,Unknown,Sports,0.4723251326195756,0.4445328443582509,Low,2.0,7.706310041223496,0.1531082118559502,0.0538954800930556,0.1433709603105863,Yes,No,No
CUST00042,2022-01-18,1.0,Male,Low,Australia,Sydney,1.0,86.75739373244105,172.73063264325702,Sports,Food,0.101290967943223,0.1386345993387981,Never,4.0,5.790188723547951,0.1181958608702908,0.0815418548513877,0.308896448870506,No,No,No
CUST00043,2020-02-15,30.0,Male,Low,France,Tokyo,3.0,425.3199651188232,1370.10864561136,Books,Unknown,0.5275321908485621,0.368568473969195,Medium,0.0,5.552385115039739,0.2305322910558449,0.3028696473861937,0.1295370604769728,Yes,No,Yes
CUST00044,2018-02-04,9.0,Male,Unknown,Canada,Berlin,5.0,21.7253628581348,272.176542193719,Sports,Electronics,0.397258836638065,0.5455429580921324,Unknown,0.0,6.234836647810309,0.0419896641149307,0.221409347515549,0.1654104404891414,Yes,Yes,Yes
CUST00045,2023-05-10,Unknown,Prefer not to say,Unknown,Australia,New York,2.0,133.93442335292025,306.5321945889337,Electronics,Toys,0.4177577719585624,0.2327724448429781,High,2.0,8.023635116142328,0.0641501724211132,0.2309229084663725,0.2959184036900033,Yes,No,No
CUST00046,2022-05-05,36.0,Male,Very High,Germany,Los Angeles,8.0,9.669308452306954,122.38838331259568,Home Goods,Home Goods,0.1103180260767754,0.2749625455423637,High,1.0,8.76727460925689,0.1176846716507557,0.0317857802108847,0.0176698453767322,Yes,Yes,Unknown
CUST00047,2020-10-18,23.0,Unknown,Unknown,UK,Sydney,7.0,80.59445347972449,543.0916525419105,Unknown,Unknown,0.2750218773260883,0.3084254854777128,Unknown,1.0,10.0,0.2,0.2751584960441273,0.2412297719865525,Yes,No,Yes
CUST00048,2021-02-03,56.0,Female,Medium,UK,Los Angeles,9.0,128.23742436739744,1203.9112186729033,Food,Books,0.1786900209919358,0.0743165119148557,High,1.0,8.629904534890894,0.1395868225828501,0.067783468208738,0.2771207776093972,Yes,No,No
Unknown,2022-02-09,21.0,Female,Very High,Japan,Berlin,4.0,103.61608446883214,357.40731720151814,Books,Home Goods,0.2428593942462842,0.551019779946616,Medium,2.0,5.287696918405886,0.2409919464226929,0.052018539170096,0.1697445776368722,Yes,No,No
CUST00050,2019-12-04,-10.0,Female,Very High,Unknown,Berlin,16.0,150.5843903835944,2369.7870795843733,Home Goods,Toys,0.3549244772135081,0.5941092097449674,Unknown,0.0,3.442467033784337,0.2920180923529624,0.0972349705907207,0.2,Yes,No,Yes
CUST00051,2022-04-29,42.0,Male,Very High,Other,London,0.0,61.90899510524255,-51.800244704614,Food,Books,0.4090482941323256,0.5996980283636936,Never,0.0,6.544437650464468,0.0910148167978603,0.2538559558891782,0.0348309480086538,No,No,No
CUST00052,2018-06-11,8.0,Female,Low,Australia,Paris,14.0,25.3584154737196,307.5733028675076,Unknown,Unknown,0.0409014615184174,0.1724790954018011,Medium,1.0,7.416736518308363,0.3220968106895534,0.1151514678238276,0.3380415363884724,Yes,No,No
CUST00053,2018-07-21,22.0,Male,Low,USA,London,8.0,29.50075067393622,-30.285584850589917,Unknown,Beauty,0.1064505648015363,0.2500501006008493,Unknown,4.0,6.689387298578313,0.2,0.2561334934706938,0.1728888323399029,Yes,Yes,No
CUST00054,2023-06-05,27.0,Unknown,Unknown,Japan,Tokyo,3.0,72.56537109253287,130.8610856873016,Electronics,Books,0.4670048499992172,0.0948649861306304,High,0.0,7.246477119145646,0.4300450293804771,0.1014266448511099,0.0244921152712161,Yes,No,No
Unknown,2020-09-22,13.0,Unknown,Medium,Japan,London,5.0,13.859060288207768,672.92,Food,Books,0.4631171097732246,0.5122379644089436,Low,1.0,6.215589121360658,0.2392661774725325,0.2333312184817885,0.1480018709122867,Yes,No,Yes
CUST00056,2020-03-26,27.0,Prefer not to say,Unknown,France,Los Angeles,0.0,21.54793858696576,141.60350405100678,Books,Home Goods,0.2792666645369579,0.2554173432201815,Unknown,1.0,6.564621086000208,0.1607266258686987,0.1588459439036218,0.178679968790427,No,No,No
CUST00057,2019-04-01,13.0,Prefer not to say,Very High,Australia,Other,8.0,198.41306406379636,1644.8195414046477,Toys,Beauty,0.175226597964016,0.29,Medium,3.0,6.96,0.2,0.1154208667461436,0.146132347056106,Yes,No,No
CUST00058,2021-06-29,37.0,Other,Unknown,Australia,Other,5.0,54.57820218883417,434.1787563855356,Electronics,Clothing,0.3854745862921517,0.0986938507615648,Low,2.0,7.641602281187485,0.2178389768893512,0.3626742047144752,0.2238933423208999,Yes,No,No
CUST00059,2020-10-13,16.0,Unknown,High,USA,Los Angeles,1.0,189.22,-56.37023341012468,Sports,Books,0.1538487157972448,0.1814099779717486,Low,1.0,6.501467439091496,0.1155961319041583,0.1242026125170047,0.2473646488725651,No,No,No
CUST00060,2018-12-04,35.0,Male,Low,UK,New York,4.0,62.28938829614936,175.0138434062641,Electronics,Books,0.1525865782347926,0.291622537721064,Unknown,2.0,3.774077024214078,0.2,0.0929534096510947,0.0176941456717711,Yes,No,No
CUST00061,2020-05-28,52.0,Other,Low,Germany,Tokyo,2.0,27.51857528629203,5.76947706422051,Beauty,Home Goods,0.3664043892858109,0.3037681421654569,Never,1.0,7.181322697357498,0.2213798985289676,0.1009011067895817,0.1879784474260461,Yes,No,No
CUST00062,2020-12-12,46.0,Unknown,High,Germany,Tokyo,4.0,235.32416277207972,1004.5859975159112,Books,Food,0.295998298710816,0.2262623511089932,Low,2.0,5.614031487555604,0.4059920790098879,0.4409909585906097,0.2,Yes,No,No
CUST00063,Unknown,33.0,Male,Unknown,USA,London,4.0,26.127378187308544,672.92,Electronics,Beauty,0.28,0.2642060529621388,Unknown,4.0,6.348539950081231,0.1424433781318181,0.2083902138373498,0.09164306579948,Yes,No,No
CUST00064,2020-02-03,Unknown,Unknown,Low,Japan,Other,9.0,114.05146975447464,1098.8279629318722,Unknown,Food,0.5366251835879773,0.2262747394629899,Medium,1.0,4.4098107967620725,0.218931873941805,0.0824293521018745,0.3472608120400309,Yes,Yes,No
CUST00065,2019-01-15,37.0,Unknown,Low,France,Unknown,1.0,27.33727182789792,-47.62498088804726,Unknown,Food,0.6245396416972546,0.1100622555545652,Unknown,2.0,9.09458185997187,0.2547086715710587,0.1083704921941623,0.0537675135976497,No,No,Unknown
CUST00066,Unknown,24.0,Male,Very High,Canada,New York,11.0,4294.256403002562,543.2387297333761,Unknown,Electronics,0.2302808942211587,0.29,Medium,1.0,7.486021411765531,0.0145684162504114,0.1278637672669686,0.4037692344435852,Yes,No,No
CUST00067,2021-03-26,38.0,Unknown,Unknown,Australia,Berlin,7.0,32.702503667959185,247.7746350344209,Clothing,Unknown,0.3268153416679871,0.0726013455320173,Medium,3.0,7.144332300884309,0.0437532095291694,0.1834098450406699,0.0222572808300288,Yes,No,No
CUST00068,2023-08-25,9.0,Unknown,Unknown,Germany,New York,10.0,17.281821196566998,178.06657058994566,Clothing,Beauty,0.4119956330052137,0.254392628950157,Low,2.0,6.96,0.3825197145924764,0.2,0.1306999593267842,Yes,No,Yes
CUST00069,2018-03-06,47.0,Unknown,Very High,Canada,Los Angeles,2.0,65.14889136239708,147.1345246924531,Unknown,Clothing,0.2819444566805682,0.2871159398983965,Never,0.0,7.009347404934027,0.3603721186447046,0.2559717343887024,0.0751557728936151,Yes,Yes,Yes
CUST00070,2021-09-29,35.0,Prefer not to say,Medium,Australia,London,4.0,31.572368377615696,672.92,Home Goods,Electronics,0.4917248351670729,0.3661829168521926,High,1.0,5.798187442908377,0.4433180808808272,0.1124176991295405,0.1637794969812847,Yes,No,No
CUST00071,2021-02-26,68.0,Female,Low,France,Los Angeles,3.0,34.790121253784264,155.3564311633896,Books,Books,0.3764274599981589,0.3477135201463193,Unknown,3.0,8.466568049753413,0.099380183244945,0.1997369279956235,0.1881474878006702,Yes,No,No
CUST00072,2023-07-21,54.0,Unknown,Medium,USA,Berlin,3.0,43.85164631024648,31.6348259239076,Unknown,Unknown,0.2442240937743813,0.3538830679551012,Never,0.0,5.410667052784682,0.1067301832392066,0.1236458383454915,0.1679377952429466,Yes,No,Yes
CUST00073,2022-02-04,43.0,Male,Low,Japan,Paris,5.0,189.22,169.3095600733521,Sports,Home Goods,0.3129192364482848,0.2094864079953166,Unknown,2.0,6.749454614703303,0.1348215483689608,0.245661205194678,0.3506832185821213,Yes,No,No
CUST00074,2021-03-08,33.0,Unknown,Very High,France,Sydney,3.0,105.50067224563368,302.00386215987544,Electronics,Unknown,0.6191167061303562,0.1429035838640065,High,4.0,7.936608606776925,0.2,0.4805200657660226,0.1513593506072767,Yes,No,No
Unknown,2022-03-03,24.0,Prefer not to say,Low,UK,Tokyo,1.0,273.3433851480457,250.3434069213124,Home Goods,Books,0.5729352175868958,0.2386376354933287,Unknown,4.0,2.8918411119112983,0.1524435236747399,0.1735332075359871,0.1904562250101152,No,No,No
CUST00076,2019-01-27,49.0,Prefer not to say,Medium,Other,London,14.0,101.7697394647956,1512.9614634893485,Sports,Clothing,0.3125734199139665,0.1556035074606818,Unknown,3.0,8.211436798088739,0.2748270057031968,0.1810650462854184,0.2370667214727417,Yes,No,No
CUST00077,2022-08-26,31.0,Unknown,Very High,France,Los Angeles,8.0,64.22507510716403,421.7623770276706,Beauty,Beauty,0.3984909709519388,0.226485123261378,High,3.0,9.432561926619147,0.1237569168111273,0.0733959183515043,0.3838906002722471,Yes,No,No
CUST00078,2019-02-23,52.0,Other,Medium,USA,Other,2.0,15.895431533183029,13.169801193611717,Beauty,Beauty,0.2595957766623852,0.1110679795453867,Low,2.0,7.525814935233432,0.3181630924722946,0.143052109893666,0.2538590052918541,Yes,No,Yes
CUST00079,2019-01-14,41.0,Female,Medium,USA,Unknown,6.0,22.91022861982313,-39.12838053736039,Food,Unknown,0.4422150692723284,0.29,Never,0.0,8.263796715894964,0.1591769862942115,0.0788630173328125,0.1850640070870564,Yes,No,No
CUST00080,2022-12-02,Unknown,Unknown,High,Other,Berlin,4.0,189.22,136.94052457911062,Beauty,Books,0.2537641315745546,0.3006225871040069,Low,1.0,10.0,0.2,0.0500771538468167,0.2218592576279636,Yes,No,No
CUST00081,2023-09-20,43.0,Male,Low,France,Paris,1.0,7.166594257140301,-130.97500951489417,Books,Electronics,0.0707537966284645,0.3666346734352774,Unknown,2.0,6.96,0.4259052803696442,0.1538673746237115,0.3708400012649883,No,Unknown,No
CUST00082,2023-12-23,21.0,Male,Low,Australia,Los Angeles,5.0,222.00619491066968,371.5900927629747,Books,Unknown,0.28,0.0168625438704655,Never,0.0,6.430140363420777,0.2739320463161697,0.2,0.0504267873312699,Yes,No,No
CUST00083,2018-07-20,19.0,Male,Medium,USA,Los Angeles,5.0,36.27930272109005,118.53285921211392,Home Goods,Food,0.4368924742191821,0.3986726629103546,Unknown,3.0,8.348610271025986,0.2094036086794513,0.1173216760008709,0.1399029442194665,Yes,No,No
CUST00084,Unknown,Unknown,Prefer not to say,Unknown,UK,Berlin,7.0,173.82387586288837,1113.032196296508,Clothing,Unknown,0.2620370912310777,0.2780692762314411,Medium,1.0,8.44780734137788,0.1756221665621856,0.2018745958777779,0.3301969566127785,Yes,Yes,No
CUST00085,2020-02-19,50.0,Female,Unknown,Canada,Berlin,2.0,52.73277795825722,73.1179626374985,Electronics,Food,0.2965816397577849,0.2586914233905613,High,2.0,7.651335244611926,0.2502814421404121,0.257875415153534,0.2,Yes,No,Yes
CUST00086,2019-05-18,20.0,Unknown,Low,France,Paris,2.0,23.40729368690938,151.3772563098758,Sports,Home Goods,0.5938830003203862,0.3859914800243191,Low,1.0,6.694818774163934,0.2464178073914127,0.0713897084601251,0.2256074181068775,Yes,No,Yes
CUST00087,2022-10-18,22.0,Unknown,Very High,USA,Paris,0.0,19.368706384798774,-27.87316669815204,Home Goods,Unknown,0.1052155826271248,0.3233849653925417,Low,2.0,8.92058051998934,0.2167093419912684,0.3153995208479132,0.0719168873027124,No,Yes,No
CUST00088,2020-03-15,43.0,Other,Low,Unknown,Tokyo,0.0,87.39522530377553,-132.9127936246252,Sports,Toys,0.1130466495893685,0.199235671782168,Low,4.0,2.799322917317843,0.1487378338286521,0.2688235297759954,0.0197983646410354,No,No,Unknown
CUST00089,2023-11-17,31.0,Unknown,Unknown,Japan,Tokyo,5.0,217.8900655911277,1071.773774712845,Unknown,Toys,0.4958226235204975,0.424840502312713,Low,4.0,5.957157212225036,0.3038719750880481,0.1878001737630081,0.0419688649633702,Yes,No,No
CUST00090,2023-03-11,29.0,Female,Medium,Australia,Los Angeles,3.0,2185.233516130114,6507.967929127236,Unknown,Toys,0.1473375936859151,0.1455973299793149,Never,2.0,3.934340648433112,0.203321070487627,0.2143358367238072,0.1216513150434174,Yes,No,No
CUST00091,2022-04-20,28.0,Unknown,Low,Australia,Berlin,11.0,33.30739757676863,202.2711119254724,Unknown,Clothing,0.0925836156838415,0.0258085909339548,Unknown,5.0,8.053157858682011,0.2138802829494692,0.0454287867767661,0.258564973045009,Yes,No,No
CUST00092,2020-08-18,0.0,Unknown,Very High,Other,New York,0.0,163.00332720926835,208.53591730217929,Electronics,Unknown,0.4618983121147137,0.3742840832481485,Medium,1.0,3.7734045412621176,0.04981514644474,0.2184439191331242,0.3260935651445917,No,Unknown,Yes
CUST00093,2022-01-25,20.0,Unknown,Unknown,Australia,Berlin,6.0,43.91167051462787,672.92,Books,Food,0.2041919589789544,0.29,High,4.0,5.700220374670827,0.2987634908417712,0.0648725132671934,0.2193108298891519,Yes,No,No
CUST00094,2020-10-25,52.0,Male,High,Canada,London,12.0,7275.2355578696925,836.2941388742063,Sports,Unknown,0.0629487287813065,0.0557434994823309,Low,2.0,6.461511823722764,0.2,0.0779345183934741,0.1354183111527908,Yes,No,No
CUST00095,2019-05-18,26.0,Male,Medium,UK,London,0.0,70.35891728911653,45.49074538209295,Sports,Electronics,0.6865072032625631,0.2579760475834159,Low,2.0,5.870316124658423,0.3176396156588174,0.066948682879281,0.1889872620284995,No,No,No
CUST00096,2019-02-02,6.0,Male,Medium,France,Berlin,8.0,27.43676656909475,288.9025822858167,Beauty,Home Goods,0.7096759136874695,0.2312670818379471,Low,3.0,6.96,0.2095246389437049,0.3323410442145448,0.4065992608237418,Yes,No,No
CUST00097,2020-05-20,19.0,Male,Medium,USA,Paris,9.0,59.17559271872269,651.6391011158172,Unknown,Toys,0.0564601001686626,0.3610304764278657,Medium,1.0,5.170636937821378,0.0280269070306357,0.1936517444724508,0.1885529887247931,Yes,Yes,No
CUST00098,2019-01-28,Unknown,Prefer not to say,Unknown,Canada,London,6.0,153.7258048276011,807.7750920303583,Toys,Toys,0.3491098048463175,0.1356226663861442,High,1.0,3.873119840540211,0.1707601959824381,0.2965383028106702,0.2267252109675517,Yes,No,Yes
Unknown,2018-07-26,40.0,Prefer not to say,Low,UK,Other,4.0,74.69356061807179,258.77718472511856,Books,Food,0.2612602544569136,0.2160353275501315,Medium,1.0,8.96212051060386,0.1738805897257888,0.1150819318418843,0.1550900511106299,Yes,No,Unknown
CUST00100,2020-11-04,30.0,Prefer not to say,Low,Germany,Sydney,6.0,20.68856032100382,45.84755168887372,Unknown,Electronics,0.3792358725471326,0.2248298706770749,High,2.0,6.923981943826589,0.2776302866298778,0.2552448929371886,0.0893809264299004,Yes,No,No
CUST00101,Unknown,24.0,Unknown,Low,USA,Tokyo,6.0,39.84635890881346,311.5487959560303,Clothing,Home Goods,0.2722194399508499,0.1459329946649818,Never,2.0,8.489824506845236,0.0514934638046191,0.2408344762750342,0.0873719145168523,Yes,No,Yes
CUST00102,2022-01-24,13.0,Male,Low,Unknown,Los Angeles,2.0,189.22,669.6605401680495,Sports,Sports,0.1578770096540961,0.2528801157760841,Unknown,1.0,8.42518527223623,0.1786774972006344,0.2231181027557407,0.1899793395333902,Yes,No,No
CUST00103,2020-05-13,40.0,Other,Medium,Australia,Los Angeles,9.0,16.966530569380595,122.53957014066792,Beauty,Electronics,0.5177304590861218,0.3891717750245296,Unknown,1.0,6.769023349957921,0.2023916967442283,0.0843901309393835,0.412039816734514,Yes,No,Unknown
CUST00104,2019-07-18,47.0,Other,Unknown,UK,Other,11.0,32.365325095295304,428.6137822469256,Toys,Food,0.3305625669192204,0.0491248631611524,Low,2.0,8.869261220841143,0.256932411129151,0.2102690625878422,0.2264728300847034,Yes,No,Yes
CUST00105,2020-10-17,54.0,Male,Medium,Japan,Sydney,6.0,62.76785463383685,533.3699791260547,Electronics,Beauty,0.6615079986634934,0.2002800106157864,Low,2.0,6.820892307409579,0.1760259962700768,0.378019284873379,0.1736940166431055,Yes,No,No
CUST00106,2018-04-06,18.0,Female,High,Japan,Sydney,7.0,71.7706465517468,585.1887900909855,Books,Home Goods,0.1953787322052776,0.2869602615380517,Medium,1.0,8.97645008037208,0.0773321994651693,0.2579472005101713,0.3615544922978981,Yes,Unknown,No
